,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
6872,25,mesbah,lecce,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4426,25,badu,udinese,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7719,25,poli,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10190,25,pato,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2999,25,moras,bologna,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7737,25,pulzetti,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9504,25,gilardino,fiorentina,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
9364,25,eto'o,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7032,25,montolivo,fiorentina,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
1007,25,antonini,milan,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5729,25,giovinco,parma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
223,25,buffon,juventus,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8349,25,valiani,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5810,25,gonzalez,lazio,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
10173,25,paponi,bologna,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
864,25,agostini,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2712,25,lucarelli a,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7812,25,ramirez,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7172,25,mutarelli,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8176,25,sissoko,juventus,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
5977,25,hernanes,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9543,25,hernandez,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6862,25,merkel,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2920,25,martinez g,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8384,25,van bommel,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5874,25,guana,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10116,25,paloschi,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1922,25,comotto,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
264,25,curci,sampdoria,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2010-11
3816,25,sorensen,juventus,D,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2010-11
7760,25,rafinha,genoa,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
5916,25,guberti,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
20,25,abbiati,milan,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9462,25,ghezzal,bari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8198,25,sneijder,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6928,25,mesto,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4644,25,bresciano,lazio,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8476,25,vives,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5760,25,gobbi,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2286,25,frey n,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4980,25,conti,cagliari,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
9577,25,iaquinta,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1932,25,cordoba,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
828,25,accardi,brescia,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1733,25,ceccarelli,cesena,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10135,25,pandev,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3726,25,sardo,chievo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10295,25,possanzini,brescia,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4219,25,acquah,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
908,25,andelkovic,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4276,25,alvarez ea,bari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6949,25,migliaccio,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9426,25,floro flores,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4332,25,aquilani,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3824,25,spolli,catania,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4376,25,asamoah,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9608,25,ibrahimovic,milan,A,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2010-11
2270,25,ferrario,lecce,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5794,25,gomez,catania,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4205,25,abdi,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1798,25,cherubin,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5955,25,hamsik,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5844,25,greco,roma,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2401,25,gastaldello,sampdoria,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
3796,25,silvestre,catania,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
7005,25,missiroli,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3756,25,scaloni,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1767,25,cesar,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2759,25,lucchini,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10109,25,okaka,bari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
366,25,eduardo,genoa,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4239,25,almiron,bari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8503,25,yebda,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
951,25,angelo,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5863,25,grossmuller,lecce,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1697,25,cassetti,roma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10610,25,zarate,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
