,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
1068,11,bastos,lazio,D,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,2019-20
11312,11,inzaghi s,lazio,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10331,11,pedro g,fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7876,11,rincon t,torino,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
748,11,szczesny w,juventus,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8749,11,zaccagni m,verona,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
8758,11,zaniolo n,roma,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1053,11,bastoni a,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8796,11,zielinski p,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
791,11,acerbi f,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3416,11,murru n,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5871,11,duncan a,sassuolo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7890,11,rog m,cagliari,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7941,11,ruiz f,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3239,11,mateju a,brescia,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7572,11,pessina m,verona,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7632,11,petriccione j,lecce,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3329,11,milenkovic n,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3507,11,opoku n,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7928,11,romulo,brescia,C,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
3523,11,palomino j,atalanta,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5364,11,castro l,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10516,11,rebic a,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5806,11,djuricic f,sassuolo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11354,11,juric,verona,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10379,11,piatek k,milan,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7693,11,poli a,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1025,11,barreca a,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9538,11,gervinho,parma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
967,11,augello t,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1097,11,becao r,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3302,11,meccariello b,lecce,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11463,11,maran,cagliari,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3172,11,martella b,brescia,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5498,11,correa j,lazio,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
11477,11,mazzarri,torino,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10391,11,pinamonti a,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5433,11,cataldi d,lazio,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
664,11,skorupski l,bologna,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
5892,11,ekdal a,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3684,11,pezzella giu,parma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9654,11,immobile c,lazio,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
709,11,strakosha t,lazio,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
