,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
7677,12,poli a,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2269,12,ferrari a,sampdoria,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4713,12,badelj m,fiorentina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10110,12,muriel l,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8762,12,zaniolo n,roma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1972,12,depaoli f,sampdoria,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5780,12,diawara a,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7332,12,nandez n,cagliari,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3829,12,rispoli a,lecce,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9362,12,dzeko e,roma,A,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6628,12,laxalt d,torino,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
8049,12,schouten j,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8055,12,scozzarella m,parma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6605,12,kurtic j,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4670,12,amrabat s,verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11312,12,inzaghi s,lazio,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9406,12,esposito s,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1292,12,cacciatore f,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
420,12,olsen r,cagliari,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
5315,12,candreva a,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8276,12,tachtsidis p,lecce,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3784,12,reca a,spal,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10747,12,skov olsen a,bologna,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1296,12,caceres m,fiorentina,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6569,12,kulusevski d,parma,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7697,12,pulgar e,fiorentina,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2974,12,luiz felipe,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4217,12,smalling c,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6638,12,lazaro v,inter,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
