,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
2361,33,zima l,genoa,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
13802,33,lazovic d,genoa,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11712,33,dalessandro m,benevento,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
21802,33,pecchia,verona,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19666,33,orsolini r,bologna,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
14677,33,nagy a,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
705,33,donnarumma g,milan,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
2578,33,ajeti a,crotone,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
14681,33,nainggolan r,roma,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19676,33,ounas a,napoli,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9881,33,anderson f,lazio,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
3544,33,bonucci l,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11118,33,castro l,chievo,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19005,33,leandrinho,napoli,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2246,33,vargic i,lazio,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
15352,33,ramirez g,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
12935,33,grassi a,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11788,33,de paul r,udinese,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
