,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
6388,13,mancini,inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4115,13,ziegler,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
1069,13,bellusci,catania,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6531,13,marcolini,chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9892,13,okaka,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
1501,13,capuano,catania,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4401,13,basta,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10161,13,quagliarella,napoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9551,13,lucarelli c,livorno,A,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2009-10
4288,13,antonelli f,bari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4127,13,zuniga,napoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6467,13,marchionni,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8195,13,vitale,livorno,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
7854,13,sissoko,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
5846,13,inler,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8974,13,del piero,juventus,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
1656,13,chivu,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8267,13,zanetti j,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3486,13,riise,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
7259,13,perrotta,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
5525,13,foggia,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8137,13,vergassola,siena,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
5716,13,guana,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2911,13,mexes,roma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
1431,13,cannavaro f,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
1682,13,coda a,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6661,13,menez,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3446,13,raggi,bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
567,13,mirante,parma,P,5.0,7.0,-2.0,0.0,0.0,0.0,0.0,0.0,2009-10
3640,13,sardo,chievo,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
856,13,alvarez ps,catania,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
5471,13,fini,siena,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3451,13,ranocchia,bari,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
9501,13,lavezzi,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
1135,13,biava,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3668,13,silvestre,catania,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9157,13,floro flores,udinese,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
830,13,agostini,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
1163,13,bocchetti,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4433,13,bentivoglio,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
5901,13,isla,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6291,13,luciano,chievo,C,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2009-10
8176,13,vieira,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
