code,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
1641,1,coda a,pescara,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5290,1,hallfredsson e,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7079,1,valdifiori m,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7071,1,torreira l,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1667,1,conti a,atalanta,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
5326,1,hamsik m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7016,1,tello a,empoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2818,1,miranda j,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7534,1,borriello m,cagliari,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17
3950,1,zukanovic e,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7231,1,widmer s,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1404,1,cacciatore f,chievo,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9344,1,salah m,roma,A,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
7475,1,bernardeschi f,fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7467,1,berardi d,sassuolo,A,9.5,7.5,0.0,0.0,0.0,2.0,0.0,0.0,2016-17
7448,1,bentivegna a,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3595,1,silvestre m,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7425,1,belotti a,torino,A,5.5,5.5,3.0,0.0,0.0,-3.0,0.0,0.0,2016-17
2856,1,moretti e,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7400,1,balogh n,palermo,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5077,1,dzemaili b,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7355,1,bacca c,milan,A,16.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,2016-17
1488,1,capuano m,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1510,1,ceccherini f,crotone,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9392,1,sau m,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5152,1,fofana s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1550,1,ceppitelli l,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
214,1,donnarumma g,milan,P,9.0,8.0,-2.0,0.0,0.0,3.0,0.0,0.0,2016-17
3136,1,peluso f,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8116,1,gomez a,atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1011,1,angella g,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3360,1,romagnoli a,milan,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8709,1,martinez j,torino,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
644,1,sorrentino s,chievo,P,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2016-17
647,1,sportiello m,atalanta,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,2016-17
4379,1,biglia l,lazio,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
663,1,storari m,cagliari,P,3.5,6.5,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17
4086,1,badelj m,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9045,1,pavoletti l,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8681,1,mandzukic m,juventus,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4396,1,biondini d,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8651,1,manaj r,pescara,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
387,1,marchetti f,lazio,P,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17
4408,1,birsa v,chievo,C,14.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-17
9080,1,penaranda a,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3320,1,rispoli a,palermo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8622,1,maccarone m,empoli,A,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2016-17
3337,1,rodriguez g,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
719,1,szczesny w,roma,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17
8791,1,meggiorini r,chievo,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8806,1,mertens d,napoli,A,13.0,7.5,6.0,-0.5,0.0,0.0,0.0,0.0,2016-17
4157,1,banega e,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8970,1,niang m,milan,A,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
478,1,posavec j,palermo,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
439,1,pelagotti a,empoli,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
435,1,padelli d,torino,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17
8925,1,nestorovski i,palermo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8904,1,muriel l,sampdoria,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
4292,1,benali a,pescara,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
4116,1,badu e,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9018,1,paloschi a,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3417,1,rossettini l,torino,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8846,1,milik a,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3496,1,sala j,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9030,1,pandev g,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4274,1,baselli d,torino,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
418,1,mirante a,bologna,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17
4222,1,barreto e,sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8610,1,lopez m,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8596,1,lombardi c,lazio,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
734,1,tatarusanu c,fiorentina,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2016-17
8322,1,inglese r,chievo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
885,1,aleesami h,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
910,1,alex sandro,juventus,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8259,1,immobile c,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
935,1,ali adnan k,udinese,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4035,1,alvarez r,sampdoria,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4585,1,castro l,chievo,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8338,1,insigne l,napoli,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4599,1,cataldi d,lazio,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
947,1,alonso m,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8236,1,ilicic j,fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8203,1,icardi m,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3179,1,peres b,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
975,1,alves b,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9185,1,petagna a,atalanta,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
8150,1,higuain g,juventus,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
325,1,karnezis o,udinese,P,2.0,6.0,-4.0,0.0,0.0,0.0,0.0,0.0,2016-17
4522,1,buchel m,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
851,1,albiol r,napoli,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8425,1,kalinic n,fiorentina,A,8.5,6.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17
4079,1,asamoah k,juventus,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
372,1,lamanna e,genoa,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
8565,1,ljajic a,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
