,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,6.5,,,,,,,,6.5,Atalanta,27,2016-17
1,5,Masiello A.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,27,2016-17
2,3,Toloi R.,Dif,D,6.5,,,,,,,,6.5,Atalanta,27,2016-17
3,24,Conti A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,27,2016-17
4,13,Caldara M.,Dif,D,5.5,,,,,,,,5.5,Atalanta,27,2016-17
5,27,Kurtic J.,Cen,C,5.5,,,,,,,,5.5,Atalanta,27,2016-17
6,11,Freuler R.,Cen,C,6.5,,,,,,,,6.5,Atalanta,27,2016-17
7,37,Spinazzola L.,Tre,T,6.5,,,,,,,,6.5,Atalanta,27,2016-17
8,10,Gomez A.,Tre,T,6.0,,,,,,,,6.0,Atalanta,27,2016-17
9,7,Dalessandro M.,Tre,T,5.0,,,,,,1.0,,4.5,Atalanta,27,2016-17
10,29,Petagna A.,Att,A,6.0,,,,,,,,6.0,Atalanta,27,2016-17
11,88,Grassi A.,Cen,C,5.5,,,,,,,,5.5,Atalanta,27,2016-17
12,7,Mounier A.,Tre,T,5.5,,,,,,,,5.5,Atalanta,27,2016-17
13,43,Paloschi A.,Att,A,,,,,,,,,,Atalanta,27,2016-17
0,83,Mirante A.,Por,P,6.5,-2.0,,,,,,,4.5,Bologna,27,2016-17
1,25,Masina A.,Dif,D,5.0,,,,,,,,5.0,Bologna,27,2016-17
2,20,Maietta D.,Dif,D,5.0,,,,,,1.0,,4.5,Bologna,27,2016-17
3,2,Oikonomou M.,Dif,D,5.0,,,,,,,,5.0,Bologna,27,2016-17
4,4,Krafth E.,Dif,D,5.5,,,,,,,,5.5,Bologna,27,2016-17
5,18,Helander F.,Dif,D,5.5,,,,,,,,5.5,Bologna,27,2016-17
6,6,Viviani F.,Cen,C,6.0,,,,,,,,6.0,Bologna,27,2016-17
7,16,Nagy A.,Cen,C,5.5,,,,,,,,5.5,Bologna,27,2016-17
8,31,Dzemaili B.,Cen,C,6.0,,,,,,1.0,,5.5,Bologna,27,2016-17
9,9,Verdi S.,Tre,T,5.5,,,,,,,,5.5,Bologna,27,2016-17
