,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
6250,10,j mario,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1683,10,criscito d,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4170,10,tonelli l,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4149,10,toloi r,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1813,10,de sciglio m,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
626,10,sorrentino s,chievo,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
9778,10,palacio r,bologna,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9779,10,paloschi a,spal,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11300,10,spalletti,inter,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3078,10,manolas k,roma,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6551,10,lazzari m,spal,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6224,10,ionita a,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6796,10,maiello r,frosinone,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6844,10,matuidi b,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10544,10,zaza s,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6822,10,mandragora r,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2977,10,maietta d,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6543,10,lazovic d,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10169,10,ronaldo c,juventus,A,14.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-19
4299,10,zampano f,frosinone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10746,10,de zerbi,sassuolo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1830,10,de silvestri l,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9282,10,kouame c,genoa,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4444,10,badelj m,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6401,10,krejci l,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8550,10,caprari g,sampdoria,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10524,10,zapata d,atalanta,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8582,10,caputo f,empoli,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
6393,10,kiyine,chievo,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
8526,10,campbell j,frosinone,A,7.0,6.5,0.0,-0.5,0.0,0.0,0.0,1.0,2018-19
561,10,sirigu s,torino,P,6.5,7.5,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
137,10,donnarumma g,milan,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
8611,10,castillejo s,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6711,10,lulic s,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10138,10,quagliarella f,sampdoria,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
6435,10,krunic r,empoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4227,10,vicari f,spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11023,10,juric,genoa,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4371,10,acquah a,empoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9317,10,kownacki d,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4250,10,vrsaljko s,inter,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10979,10,inzaghi f,bologna,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8502,10,callejon j,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3007,10,malcuit k,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6503,10,laxalt d,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
585,10,skorupski l,bologna,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
1550,10,ceppitelli l,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1608,10,cionek t,spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9349,10,la gumina a,empoli,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10153,10,rigoni e,atalanta,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10984,10,inzaghi s,lazio,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6625,10,linetty k,sampdoria,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6762,10,magnanelli f,sassuolo,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6312,10,joao pedro,cagliari,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
3051,10,mancini g,atalanta,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
4431,10,allan m,napoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6336,10,kessie f,milan,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2952,10,magnani g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1555,10,cesar b,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6875,10,mazzitelli l,genoa,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10406,10,stepinski m,chievo,A,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1485,10,capuano m,frosinone,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7823,10,soriano r,torino,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3715,10,rodriguez r,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7778,10,sensi s,sassuolo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8215,10,zajc m,empoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1021,10,antonelli l,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3361,10,n koulou n,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7756,10,scozzarella m,parma,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3735,10,rogerio o,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9592,10,milik a,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7721,10,schiattarella p,spal,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1047,10,ariaudo l,frosinone,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9516,10,meggiorini r,chievo,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7702,10,saponara r,sampdoria,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10706,10,d aversa,parma,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1060,10,asamoah k,inter,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7668,10,sandro,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9489,10,matri a,sassuolo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9948,10,piatek k,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3323,10,musacchio m,milan,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7643,10,ruiz f,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1084,10,bani m,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3787,10,romagnoli a,milan,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7587,10,rincon t,torino,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
55,10,berisha e,atalanta,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
10616,10,ancelotti,napoli,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3835,10,romero c,genoa,D,7.5,5.5,3.0,0.0,-1.0,0.0,0.0,0.0,2018-19
8265,10,zielinski p,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7838,10,stulac l,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3289,10,murru n,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9910,10,petagna a,spal,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
789,10,abate i,milan,D,,,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3477,10,pasqual m,empoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8134,10,veretout j,fiorentina,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
860,10,aina o,torino,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8065,10,vecino m,inter,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11171,10,pioli,fiorentina,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3556,10,pereira p,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9848,10,pavoletti l,cagliari,A,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2018-19
881,10,albiol r,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8011,10,valoti m,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4,10,audero e,sampdoria,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19
7997,10,valero b,inter,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
894,10,alex sandro,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3444,10,palomino j,atalanta,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
3580,10,pezzella ger,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9891,10,pellissier s,chievo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3424,10,opoku n,udinese,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7951,10,under c,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
798,10,acerbi f,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3626,10,pisacane f,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
924,10,alves b,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3639,10,radu s,lazio,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10650,10,andreazzoli,empoli,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7924,10,ucan s,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9839,10,parigini v,torino,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7897,10,traore h,empoli,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
956,10,andersen j,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7884,10,svanberg m,bologna,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9539,10,mertens d,napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
11042,10,longo,frosinone,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7538,10,rigoni n,chievo,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1146,10,barzagli a,juventus,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
683,10,strakosha t,lazio,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8359,10,barrow m,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4022,10,silvestre m,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1337,10,bonucci l,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
673,10,sportiello m,frosinone,P,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7158,10,parolo m,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7122,10,padoin s,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11068,10,maran,cagliari,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8390,10,belotti a,torino,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1394,10,calabresi a,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7062,10,nzonzi,roma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4074,10,skriniar m,inter,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
110,10,cragno a,cagliari,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
1409,10,calabria d,milan,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9389,10,lasagna k,udinese,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10084,10,pussetto i,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8425,10,berardi d,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3120,10,marusic a,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9615,10,mirallas k,fiorentina,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4107,10,srna d,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10581,10,allegri,juventus,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6969,10,missiroli s,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3110,10,marlon,sassuolo,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
6929,10,milinkovic s,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4126,10,ter avest,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8456,10,caicedo f,lazio,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6906,10,meite s,torino,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10040,10,politano m,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7514,10,rigoni l,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7218,10,pasalic m,atalanta,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3989,10,santon d,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3853,10,romulo,genoa,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
7456,10,radovanovic i,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7447,10,pulgar e,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3870,10,rossettini l,chievo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7406,10,praet d,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8298,10,antenucci m,spal,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1187,10,bastos,lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
