,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
3072,29,oddo,milan,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2567,29,lichtsteiner,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
7003,29,nainggolan,cagliari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8910,29,cruz,lazio,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4574,29,biondini,cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6842,29,montolivo,fiorentina,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10247,29,rocchi,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2009-10
8296,29,zapater,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8258,29,zanetti j,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4,29,abbiati,milan,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2009-10
3644,29,scaloni,lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9153,29,floro flores,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3478,29,riise,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4552,29,biagianti,catania,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2572,29,lopez,cagliari,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
4116,29,ziegler,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8567,29,bogdani,chievo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6300,29,luciano,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6769,29,mingazzini,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4231,29,alvarez,bari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9143,29,floccari,lazio,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2009-10
670,29,sirigu,palermo,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2009-10
73,29,andujar,catania,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4694,29,brighi,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3608,29,santon,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
614,29,muslera,lazio,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8539,29,bellucci,livorno,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
14,29,amelia,genoa,P,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,2009-10
9244,29,gilardino,fiorentina,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2009-10
8038,29,tziolis,siena,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
2994,29,moretti,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9207,29,ghezzal,siena,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2484,29,kroldrup,fiorentina,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
630,29,rubinho,livorno,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2009-10
2491,29,lanna,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3707,29,spolli,catania,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
342,29,frey s,fiorentina,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8877,29,crespo,parma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
618,29,pavarini,parma,P,4.0,5.5,-1.0,-0.5,0.0,0.0,0.0,0.0,2009-10
3047,29,natali,fiorentina,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
7149,29,palombo,sampdoria,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8925,29,danilevicius,livorno,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8093,29,valiani,parma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
6795,29,modesto,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10416,29,testardi,sampdoria,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8025,29,tissone,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3769,29,stendardo,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2528,29,legrottaglie,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
368,29,gillet,bari,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2009-10
4201,29,almiron,bari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6501,29,marchisio,juventus,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
3791,29,terlizzi,catania,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3506,29,rinaudo,napoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6286,29,lodi,udinese,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3587,29,samuel,inter,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
8068,29,valdes,atalanta,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
4175,29,allegretti,bari,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
3527,29,rivas n,livorno,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4021,29,zauri,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3439,29,raggi,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2765,29,mandelli,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6390,29,mancini,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6662,29,menez,roma,C,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2009-10
6675,29,mesto,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3293,29,pieri,livorno,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6937,29,mudingayi,bologna,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
6632,29,mauri,lazio,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2009-10
8359,29,adailton,bologna,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8162,29,vergassola,siena,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3953,29,zambrotta,milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
266,29,de sanctis,napoli,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2009-10
10341,29,sanchez,udinese,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4046,29,zebina,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
492,29,kosicky,catania,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2009-10
9063,29,di vaio,bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2723,29,maicon,inter,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
3330,29,portanova,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3973,29,zapata,udinese,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
8821,29,ceravolo,atalanta,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
220,29,curci,siena,P,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
9010,29,denis,napoli,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3213,29,pasquale,udinese,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
2843,29,marzoratti,cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
465,29,julio sergio,roma,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2009-10
9021,29,di natale,udinese,A,13.5,7.5,6.0,0.0,0.0,0.0,0.0,0.0,2009-10
6424,29,mannini,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10500,29,trezeguet,juventus,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3260,29,peluso,atalanta,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4328,29,asamoah,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10365,29,suazo,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
10357,29,sforzini,bari,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8214,29,vitale,livorno,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3263,29,perticone,livorno,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
2796,29,manfredini t,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3200,29,pasqual,fiorentina,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
8786,29,cavani,palermo,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2009-10
4293,29,ariatti,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8744,29,castillo,bari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
6746,29,milanetto,genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8425,29,amoruso,atalanta,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
2890,29,masiello a,bari,D,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2009-10
2670,29,lucio,inter,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
10308,29,ronaldinho,milan,A,7.5,7.0,0.0,-0.5,0.0,0.0,0.0,1.0,2009-10
10460,29,toni,roma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2009-10
6722,29,migliaccio,palermo,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
3877,29,tonetto,roma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
4512,29,biabiany,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
3873,29,tomovic,genoa,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
8241,29,zanetti c,fiorentina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2009-10
2640,29,lucchini,sampdoria,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2009-10
391,29,handanovic,udinese,P,2.0,6.0,-4.0,0.0,0.0,0.0,0.0,0.0,2009-10
