,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
8338,20,di michele david,udinese,A,13.0,7.5,6.0,-0.5,0.0,0.0,0.0,2005-06
6405,20,mudingayi gaby,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8806,20,lucarelli cristiano,livorno,A,2.0,5.0,0.0,0.0,-3.0,0.0,0.0,2005-06
871,20,aronica salvatore,messina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3475,20,sensini roberto nestor,udinese,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
2955,20,oddo massimo,lazio,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
2090,20,felipe dalbelo,udinese,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
3255,20,portanova daniele,siena,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3886,20,zambrotta gianluca,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4958,20,d'aversa roberto,siena,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2172,20,franceschini ivan,reggina,D,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,2005-06
3636,20,thuram lilian ulien,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
242,20,cejas cristian sebastian,fiorentina,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,2005-06
486,20,guardalben matteo,parma,P,2.0,6.0,-4.0,0.0,0.0,0.0,0.0,2005-06
8311,20,di canio paolo,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7839,20,bazzani fabio,sampdoria,A,8.0,7.5,0.0,-0.5,0.0,0.0,1.0,2005-06
5036,20,dalla bona samuele,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8888,20,missiroli simone,reggina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
794,20,adani daniele,ascoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3936,20,zanetti javier aldemar,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7263,20,tedesco giacomo,reggina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3608,20,terlizzi christian,palermo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
507,20,julio cesar soares,inter,P,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
