,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
9905,21,pazzini g,verona,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5443,21,crociata g,crotone,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2387,21,hateboer h,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2833,21,lukaku j,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7976,21,valero b,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1944,21,de vrij s,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3453,21,pezzella ger,fiorentina,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
9816,21,pandev g,genoa,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
2869,21,maietta d,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7344,21,pjanic m,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5049,21,brozovic m,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4069,21,strinic i,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9135,21,higuain g,juventus,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6695,21,linetty k,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4531,21,balic a,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7378,21,poli a,bologna,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
3481,21,pezzella giu,udinese,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
10928,21,iachini,sassuolo,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2864,21,maggio c,napoli,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10915,21,giampaolo,sampdoria,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9039,21,floccari s,spal,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
9876,21,pavoletti l,cagliari,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
9928,21,pellissier s,chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4505,21,badelj m,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4083,21,toloi r,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7406,21,praet d,sampdoria,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8050,21,vecino m,inter,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
6151,21,hamsik m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5020,21,bonaventura g,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8001,21,valoti m,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10964,21,inzaghi,lazio,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
341,21,handanovic s,inter,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
314,21,gomis a,spal,P,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
5492,21,dalessandro m,benevento,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9050,21,galabinov a,genoa,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
3426,21,peres b,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1297,21,bonucci l,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1909,21,de silvestri l,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4490,21,anderson f,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10999,21,maran,chievo,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6171,21,hetemaj p,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5508,21,de paul r,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1220,21,biraghi c,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2907,21,manolas k,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9078,21,gomez a,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3412,21,peluso f,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6664,21,leiva l,lazio,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4042,21,spolli n,genoa,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
5824,21,fares m,verona,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1870,21,de maio s,bologna,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
7582,21,rincon t,torino,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
73,21,berisha e,atalanta,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
6490,21,khedira s,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1670,21,chiellini g,juventus,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7749,21,schiattarella p,spal,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4231,21,vicari f,spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3270,21,n koulou n,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3089,21,mbaye i,bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
