,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
6658,27,guarin,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3815,27,peres,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11344,27,pazzini,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2422,27,emanuelson u,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9805,27,defrel,cesena,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2014-15
3741,27,pasquale,udinese,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
1849,27,cesar,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
10071,27,eto'o,sampdoria,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9820,27,denis,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8363,27,pinzi,udinese,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
9848,27,destro,milan,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
2036,27,danilo,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2107,27,darmian,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8620,27,rigoni,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7101,27,joao pedro,cagliari,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
1726,27,capelli,cesena,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7992,27,nocerino,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2594,27,gazzola,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3332,27,martic,verona,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7131,27,joaquin,fiorentina,C,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2014-15
2872,27,jansson,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11362,27,pazzini g,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9334,27,wszolek,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11119,27,okaka s,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3339,27,masiello a,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
525,27,leali ni,cesena,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2014-15
