giocatore;ruolo;squadra;pr;fv;fv_hat;metric;metric_norm;q
fares m;C;lazio;42,10526315789474;5,25;0,27631578947368424;11,634349030470917;0,3157894736842106;2
medel g;C;bologna;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
leris m;C;sampdoria;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
pereira a;C;lazio;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
agoume l;C;spezia;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
deiola a;C;spezia;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
eriksen c;C;inter;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
krunic r;C;milan;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
benali a;C;crotone;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
molina n;C;udinese;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
cataldi d;C;lazio;31,57894736842105;5,75;0,3026315789473684;9,556786703601107;0,2593984962406015;1
sturaro s;C;genoa;31,57894736842105;5,75;0,3026315789473684;9,556786703601107;0,2593984962406015;1
petriccione j;C;crotone;31,57894736842105;5,5;0,2894736842105263;9,141274238227147;0,24812030075187974;1
ounas a;C;cagliari;26,31578947368421;6,5;0,34210526315789475;9,002770083102492;0,24436090225563908;1
forestieri f;C;udinese;31,57894736842105;5,25;0,27631578947368424;8,725761772853186;0,23684210526315794;1
bartolomei p;C;spezia;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
tello a;C;benevento;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
farago p;C;cagliari;26,31578947368421;5,5;0,2894736842105263;7,617728531855955;0,2067669172932331;1
oliva c;C;cagliari;26,31578947368421;5,5;0,2894736842105263;7,617728531855955;0,2067669172932331;1
caligara f;C;cagliari;26,31578947368421;5,0;0,2631578947368421;6,925207756232687;0,1879699248120301;1
brunetta j;C;parma;26,31578947368421;5,0;0,2631578947368421;6,925207756232687;0,1879699248120301;1
dragus d;C;crotone;26,31578947368421;5,0;0,2631578947368421;6,925207756232687;0,1879699248120301;1
segre j;C;torino;21,05263157894737;6,0;0,3157894736842105;6,64819944598338;0,1804511278195489;1
valero b;C;fiorentina;21,05263157894737;6,0;0,3157894736842105;6,64819944598338;0,1804511278195489;1
acampora g;C;spezia;21,05263157894737;6,0;0,3157894736842105;6,64819944598338;0,1804511278195489;1
chiesa f;C;fiorentina;15,789473684210526;8,0;0,42105263157894735;6,648199445983379;0,1804511278195489;1
scozzarella m;C;parma;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
poli a;C;bologna;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
nainggolan r;C;cagliari;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
magnanelli f;C;sassuolo;15,789473684210526;5,0;0,2631578947368421;4,155124653739612;0,11278195488721804;1
vieira r;C;verona;10,526315789473685;6,25;0,32894736842105265;3,462603878116344;0,09398496240601506;1
dezi j;C;parma;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
duncan a;C;fiorentina;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
ebongue s;C;genoa;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
crociata g;C;crotone;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
coulibaly m;C;udinese;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
parigini v;C;genoa;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
mora l;C;spezia;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
costa do;C;juventus;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
tramoni m;C;cagliari;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
askildsen k;C;sampdoria;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
baldursson af;C;bologna;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
